customerid,average_order_value,time_between_purchases_log,purchase_behavior,churn_probability
CUST_N0AHN6,166.67,43,18,0
CUST_ZT7RZR,56.37,13,5,1
CUST_QZNTO1,27.05,23,10,0
CUST_ZFGZB3,73.59,19,2,0
CUST_JZ5795,40.86,56,13,0
CUST_MXWLV3,105.53,68,13,1
CUST_KGP1KX,37.1,61,7,1
CUST_OLDCKU,26.09,58,2,1
CUST_YG1HO2,93.79,81,2,0
CUST_T52RKK,39.46,11,11,0
CUST_YE68QT,76.91,80,18,1
CUST_JPBM76,199.06,14,19,0
CUST_LHDEC2,145.2,45,11,0
CUST_O0SLE1,83.57,45,11,1
CUST_6ZMA11,133.08,67,1,0
CUST_7POKTJ,159.61,9,14,1
CUST_UALY6F,136.72,67,11,1
CUST_US67C5,169.72,59,6,0
CUST_6B3T5E,180.71,56,7,1
CUST_ZY3IOF,86.41,21,18,0
CUST_S65KGI,194.7,68,9,0
CUST_DY9A2O,170.45,44,18,0
CUST_F6T99Y,81.12,80,13,1
CUST_Q26FD5,138.27,6,12,1
CUST_MDUDZV,131.02,52,19,1
CUST_O4DNV1,40.14,20,10,1
CUST_ZBFG2V,69.7,15,12,0
CUST_N4F6J0,104.88,74,14,0
CUST_SRWU9U,163.08,51,9,1
CUST_6CSI7M,20.07,69,18,0
CUST_52EO2K,91.92,76,17,0
CUST_L3TIR2,160.43,61,16,1
CUST_NSYE7S,114.16,89,1,1
CUST_WWMX9A,139.55,54,9,0
CUST_U63UAH,58.72,75,17,1
CUST_T1UPU7,158.71,34,5,1
CUST_Y8A1L7,45.98,77,16,1
CUST_BIN4TX,93.51,9,16,1
CUST_FBWQ7E,117.36,80,19,1
CUST_Q1FKGJ,25.59,70,9,0
CUST_QSP3KN,196.32,48,8,1
CUST_4U52BI,74.37,19,17,0
CUST_13S0OC,181.25,78,5,0
CUST_MPP72X,186.39,54,14,1
CUST_LVPSG5,23.63,69,3,1
CUST_XV2OOT,120.54,9,6,0
CUST_5EHBH1,94.49,76,9,0
CUST_LSS4SU,104.17,87,4,0
CUST_TIBY2L,169.23,72,12,0
CUST_TJDFXS,33.36,33,9,0
CUST_8JGC0V,44.26,26,19,0
CUST_VLBL5K,97.5,63,10,0
CUST_UHSWT9,98.24,36,16,0
CUST_J6MO9Z,132.87,33,14,0
CUST_Z3C1EM,155.88,37,4,0
CUST_3KDK4Z,138.15,15,11,0
CUST_H6BANA,123.77,19,8,0
CUST_BUC93I,88.31,49,10,0
CUST_VEUBBS,136.83,63,8,0
CUST_U3ZTSB,53.72,34,17,0
CUST_7SNOPD,54.53,68,18,1
CUST_WX5OK2,53.58,54,4,1
CUST_PSXUKS,103.65,76,6,0
CUST_900DIR,76.3,34,6,0
CUST_WHYCT9,40.06,12,5,0
CUST_WQJJCH,123.4,83,17,0
CUST_4NARX8,73.88,18,12,1
CUST_FRPW0K,178.8,23,3,1
CUST_Q6KSQZ,94.74,19,2,0
CUST_RZ2KAA,176.68,66,9,0
CUST_EK83JD,53.32,15,6,0
CUST_PAZKPS,40.27,9,3,1
CUST_U16K3H,148.85,20,6,0
CUST_JSVKDS,87.32,7,19,0
CUST_IU1UH8,191.14,14,3,1
CUST_43W6DU,64.99,16,5,0
CUST_UJJQMF,160.57,10,13,1
CUST_8E1NMO,136.16,29,18,0
CUST_IXJ1FP,103.18,53,1,0
CUST_PPGHUG,147.32,28,1,0
CUST_T24E32,192.84,83,2,1
CUST_KUTX30,38.19,44,18,0
CUST_ILRE8B,131.92,86,14,1
CUST_F9K1AO,122.98,55,9,1
CUST_ZWZXDA,151.56,38,4,0
CUST_1IRBGG,191.23,42,7,0
CUST_QK1AK9,76.68,37,18,1
CUST_4UF5D6,192.81,88,2,1
CUST_G2PM4J,127.6,19,11,1
CUST_TPSIOI,141.29,48,12,0
CUST_N588BK,111.31,20,10,0
CUST_8TMMB5,123.61,8,4,0
CUST_TUQY4B,71.93,26,15,0
CUST_M9FPOY,184.94,17,7,0
CUST_50M7FK,43.21,8,1,1
CUST_4D5LWY,170.65,86,1,1
CUST_ON2PFJ,44.52,12,17,0
CUST_V40MH3,79.14,59,9,1
CUST_7R8SCS,164.96,38,7,1
CUST_ETJO2P,94.83,84,9,0
CUST_TKUDKE,50.46,54,3,1
CUST_JIQQ0L,115.94,46,6,0
CUST_6VQ11M,60.75,65,8,1
CUST_112J88,124.59,51,12,1
CUST_HG2FRG,139.74,40,7,1
CUST_QTNWP8,38.06,43,11,1
CUST_V8WYT4,134.57,80,16,0
CUST_0TUZCW,92.26,73,15,1
CUST_I0MT85,120.64,34,13,1
CUST_POSB90,111.62,61,12,1
CUST_B87QPA,72.15,30,4,0
CUST_PPKFF8,24.14,69,6,1
CUST_BS00KN,76.83,55,14,1
CUST_FC9VUM,180.79,33,2,0
CUST_O6ICJ7,39.59,41,4,1
CUST_KWLYA4,99.39,83,10,1
CUST_U6KFMT,185.31,40,3,0
CUST_RRVDH6,70.75,77,1,0
CUST_UTAHJ0,141.33,10,19,1
CUST_9A0C0X,36.18,46,18,1
CUST_WFMOOD,151.93,73,5,1
CUST_TR067I,95,38,16,0
CUST_9H70LT,43.03,89,4,0
CUST_9LJWU0,193.04,76,9,0
CUST_1E21FP,162.18,48,14,1
CUST_TSH8EW,112.08,89,13,1
CUST_1VS6OA,87.77,71,19,0
CUST_L9PT5G,125.8,51,9,0
CUST_WE56Y4,36.45,73,1,0
CUST_X9RMGO,191.02,11,17,1
CUST_S902OI,60.46,31,1,1
CUST_K3RGKH,182.1,84,5,1
CUST_BMGKIW,53.37,35,13,0
CUST_MYXG3T,91.84,47,1,1
CUST_VGX50A,119.2,44,2,0
CUST_Q8OG8A,195.2,34,16,1
CUST_RVCKV0,177.66,9,3,0
CUST_DECK55,49.16,41,6,1
CUST_ZPET6K,110.52,11,3,0
CUST_TOAZRB,79.23,72,11,0
CUST_RUQAV9,96.48,70,12,1
CUST_FZFLOG,64.71,39,14,1
CUST_T847VQ,85.13,35,2,1
CUST_9FWBKH,86.06,37,12,1
CUST_NNT11O,27.41,74,4,1
CUST_QMD6IQ,153.36,71,18,1
CUST_T85F6A,187.89,12,13,1
CUST_BSEOTM,122.16,74,5,0
CUST_DKZWCX,143,70,4,1
CUST_BKYJU7,172.84,62,6,1
CUST_BWCYBJ,163.85,10,11,0
CUST_3DH4FC,23.8,61,17,1
CUST_KSNIL6,195.3,57,3,1
CUST_XMR5HX,98.48,13,6,1
CUST_ICZGOV,104.33,43,13,0
CUST_ZFHH2M,131.23,5,11,1
CUST_Z3GJC2,111.04,54,8,1
CUST_2J0HZV,66.24,10,10,0
CUST_U8HETP,115.45,16,18,0
CUST_MPDQ5K,183.83,74,3,0
CUST_BATSFO,121.17,34,11,0
CUST_2TTH49,123.93,52,6,1
CUST_BRVREI,136.96,31,8,1
CUST_G7SY1C,23.08,78,4,0
CUST_PWDNPZ,43.99,34,10,1
CUST_KU3BJ7,140.2,38,14,1
CUST_MRECG1,116.44,61,6,1
CUST_TGS4ZH,68.48,40,14,0
CUST_8142P9,115.42,56,8,0
CUST_LZXIV4,171.71,31,11,1
CUST_TFUCMA,176.98,45,3,0
CUST_TGWY95,137.99,51,19,0
CUST_LPNNFI,164.56,88,15,1
CUST_HOD2TY,74.01,29,4,0
CUST_MG29PS,30,54,16,0
CUST_IDXKWV,180.49,14,7,1
CUST_28HSNI,151.36,38,18,1
CUST_7FD2AA,49.21,74,13,0
CUST_3N2I6W,31.21,19,12,1
CUST_686JAP,194.25,45,18,0
CUST_P8YC28,189.36,5,17,0
CUST_EZJA4Q,155.67,45,7,1
CUST_I6SSZD,117.44,63,4,1
CUST_JI3MUS,24.2,30,1,1
CUST_JEJXGC,73.88,89,16,0
CUST_8FE81E,69.39,85,3,0
CUST_52KN6Z,46.07,34,16,0
CUST_U8PI5Z,132.04,46,7,1
CUST_34JHLK,78.38,27,12,0
CUST_TJYFBD,107.09,27,19,1
CUST_JJ5HXU,132.18,30,8,0
CUST_31W0QO,69.21,82,17,1
CUST_KROX23,36.5,76,3,0
CUST_5IHYX7,40.81,66,8,0
CUST_SCKZ86,108.41,64,4,1
CUST_ET5R41,165.48,84,12,0
CUST_QOHLMD,136.02,45,4,1
CUST_FVBX5B,182.79,40,16,0
CUST_9TXOKV,164.72,31,10,1
CUST_2EMLYK,111.82,29,13,1
CUST_4U336M,139.03,18,17,1
CUST_ZR6IZN,26.57,16,14,1
CUST_CTEAZX,45.71,51,8,1
CUST_2YKE1R,71.33,75,10,1
CUST_MRT105,184.64,7,12,1
CUST_BJ8PC8,48.36,14,3,0
CUST_Z9BTFX,95.71,46,5,1
CUST_GADL6I,84.64,28,16,1
CUST_R9FLZP,50.38,41,16,1
CUST_8DNW71,64.51,49,3,0
CUST_4FYJEY,144.1,86,16,1
CUST_8555XB,82.98,79,13,1
CUST_P13G7O,166.23,16,13,1
CUST_0MZ2ZF,129.2,55,14,1
CUST_8IYHCW,102.04,7,13,1
CUST_NLNESP,83.27,20,8,1
CUST_VN6URF,63.62,5,12,0
CUST_CMZMO3,133.08,89,2,0
CUST_K9PCQ1,61.63,76,7,0
CUST_N8XD4A,135.96,59,7,0
CUST_YZZ6BH,196.29,82,7,0
CUST_R0YZHJ,162.17,16,11,0
CUST_LONT89,184.27,10,14,1
CUST_QZXHYM,22.87,76,18,0
CUST_PTR7D2,64.12,77,11,0
CUST_B1GH1A,101.43,8,7,0
CUST_KBRVKR,52.49,70,12,1
CUST_X269RM,107.66,8,7,0
CUST_2AAC9J,88.54,84,10,1
CUST_TXTNSY,104.84,33,8,0
CUST_B6YVDE,39.21,83,19,0
CUST_WFMLY7,54.17,33,11,1
CUST_HVHV8L,99.02,74,14,0
CUST_1YKCI7,150.16,13,10,0
CUST_P5T9ZV,87.28,68,13,0
CUST_5346LH,54.32,57,18,0
CUST_K1H38A,120.36,58,12,0
CUST_3TK0ZW,117.45,16,18,1
CUST_AT3Y5L,149.61,46,12,0
CUST_783Q4O,159.5,19,4,0
CUST_OYK3H2,155.92,55,8,0
CUST_PCHBN4,103.17,19,7,0
CUST_QIJAEG,75.16,23,8,0
CUST_T76S4I,151.53,30,10,1
CUST_V94FZR,91.54,89,15,1
CUST_RKYBMQ,153.65,26,3,0
CUST_RNVXIP,105.65,61,16,0
CUST_X8QZLN,110.46,10,19,0
CUST_AJ5MU8,89.8,10,18,0
CUST_V0VSXN,75.39,79,7,0
CUST_Z6NYUZ,128.93,70,10,1
CUST_D0WXDN,192.86,41,9,1
CUST_MFXKHJ,33.42,50,3,0
CUST_M9V0KV,107.71,47,6,1
CUST_LJ97TC,127.62,88,17,1
CUST_HYT0CW,158.75,18,10,1
CUST_G141RX,40.69,19,13,1
CUST_HGG0B1,61.44,35,19,1
CUST_L1Z992,39.56,13,14,1
CUST_MM26NQ,48.65,20,6,0
CUST_X22W5D,86.17,63,16,1
CUST_WAO14C,118.49,38,16,1
CUST_CKXSTB,148.21,9,1,0
CUST_05JIG6,172.83,71,14,0
CUST_0IE3J4,145.82,48,17,1
CUST_K3UGVF,153.32,57,3,1
CUST_Y5VEDU,60.68,59,6,0
CUST_16370L,125.45,17,10,1
CUST_5XME88,26.74,77,10,0
CUST_FS4A8E,31.32,84,9,0
CUST_6FAFWC,106.75,59,16,1
CUST_3BHNDD,76.21,32,10,0
CUST_M7GM6A,107.36,22,13,1
CUST_3KWO9E,92.22,60,19,0
CUST_UH7YWV,170.79,56,16,1
CUST_WZ3G7Z,99.25,8,6,0
CUST_6XB8IV,124.63,74,5,1
CUST_BQ24X7,146.57,87,4,1
CUST_ZMT9F9,168.17,21,3,0
CUST_GT0L4K,146.79,89,6,0
CUST_DK6DPP,178.82,63,7,1
CUST_BG3R2B,49.24,19,14,1
CUST_VMR2IE,31.98,64,12,0
CUST_45P8BM,180.81,15,8,1
CUST_YCC5TB,198.5,74,17,1
CUST_8OGFP7,94.77,84,19,1
CUST_P086XZ,139.85,78,19,1
CUST_8TH618,128.49,71,18,0
CUST_XQ6I3N,147.43,77,17,0
CUST_5LO8D3,100.42,47,13,1
CUST_BA58QJ,101.21,87,8,0
CUST_5ECK8O,82.49,46,19,0
CUST_17W15S,169.37,60,16,0
CUST_IQTMUP,109.12,34,14,0
CUST_6NAFQL,190.5,36,9,0
CUST_UKSCCV,87.26,15,8,1
CUST_Q7RRR3,76.65,68,17,0
CUST_R2UVZU,180.98,76,2,1
CUST_82F54K,186.25,59,4,1
CUST_962UEK,184.7,31,5,1
CUST_85GRXP,189.54,76,6,0
CUST_PTHB20,78.16,12,13,0
CUST_VUT0JP,56.67,88,1,1
CUST_CD9Q8N,122.02,37,8,0
CUST_C0J2Y6,145.79,71,6,0
CUST_XY8U9Q,142.98,73,18,0
CUST_XBHOLX,73.19,31,11,0
CUST_S0I5Q1,45.84,77,19,1
CUST_Q9E04W,101.24,78,1,0
CUST_8XGCCK,163.09,74,3,0
CUST_3M3JS5,25.61,80,18,0
CUST_10XX1F,157.03,80,12,1
CUST_TYME8G,46.34,37,14,0
CUST_4WFN6P,94.95,10,15,1
CUST_F9B07B,109.48,27,17,0
CUST_4Z6EAD,33.51,31,12,0
CUST_CHXLKZ,80.91,88,13,1
CUST_I61VYT,50,25,18,1
CUST_FS7S8A,27.18,66,19,0
CUST_XBH499,125.44,57,2,1
CUST_8ZZWBE,24.25,72,18,1
CUST_MMGBPQ,21.39,26,6,1
CUST_89XRLN,84.8,17,1,1
CUST_HX1M0L,164.94,67,13,0
CUST_NGDSBF,142.85,20,1,1
CUST_LRHZUD,78.7,69,7,0
CUST_F3G1J8,73.41,72,6,0
CUST_MYL5I5,104.01,77,2,0
CUST_BOCODS,142.08,71,14,0
CUST_0U2JCM,108.22,81,4,0
CUST_QHJLMI,153.19,15,4,1
CUST_19E0I2,179.51,86,5,1
CUST_UJE4TV,41.68,16,11,0
CUST_CDW369,75.77,41,11,0
CUST_17DI6Z,44.02,59,16,0
CUST_SADMBI,121.91,40,5,0
CUST_WPXGIU,156.51,36,14,0
CUST_LXK2LU,62.01,8,12,0
CUST_9CH7X6,44.44,33,9,1
CUST_A7ISHD,198.58,66,18,1
CUST_EECZKI,62.3,57,6,0
CUST_A74IA3,125.57,49,1,0
CUST_C60SYY,33.6,72,19,1
CUST_FCEJ45,126.35,6,3,1
CUST_7IHO5J,69.88,72,8,0
CUST_NKMQR0,72.58,11,14,0
CUST_0DZUWC,65.69,67,2,0
CUST_ZL0VIQ,73.76,5,5,1
CUST_DT0FX9,176.54,33,2,0
CUST_NRGUUQ,133.28,65,5,0
CUST_RJV79A,91.87,22,8,0
CUST_P0HG22,84.61,8,6,0
CUST_S5PMWX,107.84,85,7,0
CUST_9AGT3A,134.26,81,15,1
CUST_YARJ2H,30.16,18,18,0
CUST_2VOT3U,127.03,87,16,0
CUST_PCQ0RO,158.57,33,13,1
CUST_48KBUH,173.99,83,8,1
